y true,y pred
8.0,18.14222222222222
8.0,21.9
35.0,36.32666666666667
39.0,38.41333333333333
41.0,46.45111111111111
11.0,18.06
49.0,49.373333333333335
164.0,119.15333333333334
139.0,100.81333333333332
26.0,37.32666666666667
26.0,40.68666666666667
50.0,41.86666666666667
56.0,51.9
52.0,52.16
11.0,22.12
7.0,25.84
49.0,47.72
54.0,48.66
128.0,100.73333333333332
24.0,26.546666666666667
27.0,37.92
10.0,17.16133333333333
18.0,21.766666666666666
16.0,18.133333333333333
20.0,22.34
11.0,19.294666666666668
10.0,15.793333333333331
37.0,37.89333333333333
41.0,41.2
41.0,45.653333333333336
90.0,71.96
32.0,34.14
15.0,22.626666666666665
33.0,35.913333333333334
34.0,37.653333333333336
21.0,22.21333333333333
17.0,22.19333333333333
50.0,39.10666666666667
40.0,33.76
10.0,17.286666666666665
113.0,91.06666666666666
124.0,105.94
23.0,32.53
15.0,22.96111111111111
6.0,11.386666666666668
9.0,14.473333333333333
17.0,19.7
20.0,21.78
18.0,35.986666666666665
36.0,40.18666666666667
16.0,26.4
17.0,27.05333333333333
78.0,73.4
72.0,57.306666666666665
15.0,22.57333333333333
43.0,47.52666666666666
39.0,46.78666666666667
42.0,48.57333333333333
17.0,35.89333333333333
24.0,36.89333333333333
68.0,48.8
71.0,59.04666666666667
78.0,74.18
132.0,100.72
112.0,87.61333333333333
108.0,83.83333333333333
25.0,26.666666666666668
29.0,27.99
35.0,35.60666666666667
38.0,45.34
36.0,29.866666666666667
26.0,29.14
24.0,25.342666666666663
54.0,48.50333333333333
52.0,53.98
44.0,47.89333333333333
13.0,23.57333333333333
11.0,18.793333333333333
8.0,20.433333333333334
56.0,49.03333333333333
59.0,56.71333333333333
26.0,31.15333333333333
41.0,44.13333333333333
32.0,38.653333333333336
17.0,22.066666666666663
24.0,34.77333333333333
65.0,58.28
72.0,67.94888888888887
124.0,89.29777777777777
78.0,65.7
16.0,22.313333333333333
13.0,18.337777777777777
17.0,13.06511111111111
15.0,25.67333333333333
43.0,35.51677777777779
36.0,39.02
34.0,36.73333333333333
8.0,26.91933333333333
12.0,17.433333333333334
22.0,26.5
63.0,51.10666666666667
68.0,55.88666666666666
18.0,25.33333333333333
43.0,37.507777777777775
46.0,47.266666666666666
54.0,66.54
41.0,36.833333333333336
41.0,37.8
44.0,44.986666666666665
10.0,20.9
68.0,59.03333333333333
115.0,89.48
112.0,93.24
55.0,45.71444444444444
5.0,20.232222222222223
19.0,27.3
28.0,31.81777777777777
22.0,27.531111111111105
21.0,32.77
16.0,34.69555555555555
37.0,28.52825396825397
41.0,46.36
17.0,25.32
54.0,51.24444444444445
52.0,50.46333333333333
55.0,49.33777777777778
15.0,22.468888888888888
39.0,36.94
41.0,39.28
61.0,63.75333333333333
38.0,30.33777777777778
60.0,58.11333333333334
25.0,27.49333333333333
73.0,61.73411111111111
68.0,61.18666666666667
13.0,15.15111111111111
15.0,17.5
20.0,27.30333333333333
19.0,27.3
25.0,28.41333333333333
21.0,25.364444444444445
21.0,20.186666666666667
24.0,28.902222222222225
26.0,30.08
60.0,56.66
101.0,81.75333333333333
99.0,80.2
9.0,16.986666666666668
59.0,45.053333333333335
71.0,58.41333333333333
105.0,76.2
56.0,56.74666666666667
50.0,70.41333333333333
24.0,35.66444444444445
38.0,38.76
71.0,53.53388888888889
72.0,56.81333333333333
59.0,53.34666666666666
18.0,29.206666666666667
64.0,54.23088888888889
66.0,53.58222222222222
75.0,71.69555555555554
24.0,24.57333333333333
30.0,42.59333333333333
19.0,22.68
9.0,19.38
9.0,15.446666666666667
12.0,29.28
79.0,67.16666666666667
78.0,77.22
9.0,17.38
14.0,13.588619047619046
15.0,19.22888888888889
14.0,24.30444444444445
16.0,28.329444444444448
36.0,32.84
38.0,35.46
53.0,45.18666666666667
42.0,39.42
48.0,48.24000000000001
32.0,31.87333333333333
60.0,46.34
41.0,38.25333333333333
7.0,18.77777777777778
134.0,104.21333333333334
178.0,135.2111111111111
133.0,106.70666666666666
36.0,32.45333333333333
46.0,42.8
56.0,48.82
52.0,50.266666666666666
45.0,47.22666666666667
44.0,35.63333333333333
35.0,43.09777777777777
12.0,33.08
26.0,31.453333333333333
26.0,28.98
8.0,14.22277777777778
19.0,16.631111111111114
53.0,53.58
31.0,33.766666666666666
29.0,27.326666666666668
46.0,48.013333333333335
42.0,40.82
42.0,52.68222222222223
11.0,15.18
86.0,64.31333333333333
150.0,126.02666666666669
150.0,127.79333333333334
63.0,70.21333333333334
38.0,45.58
30.0,35.593333333333334
24.0,31.68
35.0,46.82666666666667
86.0,94.47333333333331
84.0,81.44
33.0,39.94
35.0,40.986666666666665
90.0,82.96666666666667
93.0,78.44
79.0,80.31333333333333
43.0,47.31333333333333
56.0,51.513333333333335
48.0,71.26666666666667
34.0,46.00666666666667
35.0,40.73333333333333
77.0,69.54666666666667
76.0,71.68666666666667
48.0,51.53333333333333
101.0,92.94666666666669
107.0,104.57333333333334
115.0,110.78
182.0,132.66
186.0,168.72
168.0,157.74666666666667
37.0,47.66666666666666
77.0,76.12
69.0,66.65333333333334
70.0,76.18
23.0,62.36
61.0,61.766666666666666
59.0,64.71333333333334
58.0,58.02
53.0,62.36
101.0,88.5
90.0,81.39333333333333
50.0,47.70666666666666
43.0,48.09333333333333
52.0,66.11333333333333
68.0,63.013333333333335
87.0,93.88666666666668
69.0,62.09333333333333
84.0,74.62
74.0,70.79333333333334
54.0,67.72666666666667
102.0,83.38666666666667
51.0,51.35333333333333
37.0,46.473333333333336
25.0,37.45333333333333
91.0,86.22666666666667
97.0,85.49333333333334
31.0,42.626666666666665
16.0,23.34
57.0,71.86666666666666
57.0,49.02666666666666
70.0,70.60666666666667
63.0,63.60666666666667
14.0,30.94
8.0,34.24666666666667
34.0,40.71333333333333
19.0,34.49333333333333
44.0,59.18333333333333
53.0,65.01333333333334
33.0,53.64
103.0,77.96666666666667
99.0,76.06666666666666
139.0,113.26
75.0,64.16666666666667
71.0,58.71333333333333
37.0,41.78666666666667
40.0,43.29333333333334
34.0,39.27333333333333
22.0,32.85333333333333
26.0,39.74666666666667
107.0,87.44
84.0,71.96666666666667
35.0,47.31333333333333
22.0,29.89333333333333
21.0,22.776444444444447
37.0,48.013333333333335
33.0,30.613333333333333
45.0,46.266666666666666
33.0,41.28666666666667
46.0,40.75333333333333
43.0,50.70666666666666
65.0,53.56666666666667
66.0,57.2
62.0,65.55333333333333
67.0,57.73333333333333
68.0,61.17422222222222
66.0,63.88666666666666
8.0,14.133333333333333
13.0,19.162444444444446
54.0,47.53333333333333
10.0,18.12
31.0,32.42666666666667
28.0,27.36
8.0,19.433333333333334
15.0,29.026666666666667
22.0,33.193333333333335
11.0,17.78
16.0,17.9
40.0,35.45333333333333
36.0,60.626666666666665
12.0,19.92
10.0,20.126666666666665
36.0,43.62
44.0,37.08
45.0,45.54666666666667
22.0,32.99333333333333
62.0,56.42
62.0,53.08
57.0,59.0
18.0,32.17333333333333
15.0,15.913333333333334
57.0,45.02666666666666
60.0,55.24
17.0,22.29111111111111
10.0,15.446666666666667
34.0,34.586666666666666
99.0,81.42
73.0,66.33333333333333
57.0,52.46666666666667
20.0,24.886666666666667
29.0,28.0
90.0,77.81333333333333
83.0,72.89555555555556
70.0,60.16666666666666
6.0,20.313333333333333
14.0,22.44
48.0,51.126666666666665
50.0,51.52
17.0,31.52
66.0,65.78666666666666
67.0,46.775333333333336
70.0,64.58
24.0,34.38
45.0,38.373333333333335
46.0,39.78
46.0,40.32
15.0,24.57333333333333
28.0,33.48
32.0,45.12
56.0,50.63333333333333
51.0,49.44
22.0,23.42
79.0,73.98666666666666
25.0,36.053333333333335
31.0,27.126666666666665
34.0,32.011111111111106
38.0,40.21333333333333
24.0,26.28
19.0,31.08
46.0,41.13333333333333
38.0,37.64
40.0,46.513333333333335
67.0,58.64666666666667
70.0,62.57333333333333
99.0,92.32666666666668
51.0,51.0
44.0,45.54777777777778
4.0,13.06511111111111
6.0,13.437777777777775
19.0,21.004444444444445
26.0,35.51677777777779
19.0,23.606666666666666
37.0,34.62444444444444
42.0,26.91933333333333
44.0,47.79333333333334
24.0,32.22666666666667
11.0,17.226666666666667
50.0,45.906666666666666
51.0,46.986666666666665
10.0,19.59777777777778
13.0,28.133333333333333
41.0,39.126666666666665
42.0,46.193333333333335
42.0,58.766666666666666
13.0,28.52
39.0,39.62
88.0,77.66666666666667
105.0,84.47333333333333
58.0,55.25333333333333
56.0,56.74666666666667
43.0,41.74
44.0,39.14666666666667
45.0,47.693333333333335
47.0,49.61333333333334
52.0,45.32944444444445
51.0,34.69555555555555
17.0,28.52825396825397
38.0,46.28666666666667
34.0,38.20666666666666
13.0,28.28833333333333
9.0,17.973333333333333
17.0,21.286666666666665
60.0,49.41944444444445
61.0,54.126666666666665
56.0,49.78
16.0,25.55333333333333
38.0,45.44
34.0,34.46
27.0,39.27333333333333
19.0,19.814444444444447
20.0,26.74
54.0,46.38666666666666
40.0,40.74
45.0,51.59333333333333
11.0,21.236444444444444
54.0,46.61333333333334
55.0,52.09333333333333
16.0,27.67333333333333
42.0,42.35333333333333
48.0,45.49333333333333
24.0,35.4
19.0,33.126666666666665
37.0,35.40833333333333
33.0,39.29333333333334
16.0,21.82
18.0,20.80777777777778
80.0,64.18666666666667
80.0,61.86666666666667
30.0,40.36
10.0,13.866666666666667
37.0,39.053333333333335
37.0,40.61333333333334
18.0,33.2
42.0,42.973333333333336
